제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI,2010-09-03,2011-09-15,2022-01-10,일부 대상 차량의 엔진컨트롤유닛 소프트웨어 오류로 EGR(배기가스 재순환 장치) 배관 내 온도가 상승할 수 있습니다. 또한 EGR 쿨러 (배기가스 재순환 냉각기)의 내구성 부족에 의한 미세 균열로 냉각수가 누수 될 수 있습니다.
비엠더블유코리아(주),BMW i4 M50,2021-11-22,2021-11-25,2022-01-14,"BMW 자체 품질 조사 결과 2021년 11월 22일부터 2021년 11월 30일까지 제작된 BMW i4 eDrive40, i4 M50 차량 72대의 차량 생산 과정에서 고전압 배터리 충격 완화 패드*가 장착되지 않았을 가능성을 확인하였습니다. *고전압 배터리 충격 완화 패드: 배터리와 차대 사이에 장착되어 측면 충돌 시 차대가 고전압 배터리에 손상을 입히는 것을 최소화하는 장치"
비엠더블유코리아(주),BMW i4 eDrive40,2021-11-23,2021-11-30,2022-01-14,"BMW 자체 품질 조사 결과 2021년 11월 22일부터 2021년 11월 30일까지 제작된 BMW i4 eDrive40, i4 M50 차량 72대의 차량 생산 과정에서 고전압 배터리 충격 완화 패드*가 장착되지 않았을 가능성을 확인하였습니다. *고전압 배터리 충격 완화 패드: 배터리와 차대 사이에 장착되어 측면 충돌 시 차대가 고전압 배터리에 손상을 입히는 것을 최소화하는 장치"
메르세데스벤츠코리아(주),C 300,2021-03-15,2021-03-26,2022-01-14,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),C 200 4MATIC,2021-03-16,2021-03-16,2022-01-14,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),C 300,2021-03-26,2021-03-26,2022-01-14,파워트레인 컨트롤 유닛의 소프트웨어 오류로 인해 차량 운행 중 파워트레인 컨트롤 유닛이 의도하지 않게 재부팅될 수 있습니다.
메르세데스벤츠코리아(주),C 200 4MATIC,2021-03-16,2021-03-16,2022-01-14,파워트레인 컨트롤 유닛의 소프트웨어 오류로 인해 차량 운행 중 파워트레인 컨트롤 유닛이 의도하지 않게 재부팅될 수 있습니다.
만트럭버스코리아(주),TGX,2019-07-24,2021-02-10,2022-01-17,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGX,2019-07-25,2020-01-28,2022-01-17,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,2019-12-13,2021-09-14,2022-01-17,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,2019-09-03,2021-03-03,2022-01-17,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,2019-08-29,2021-03-02,2022-01-17,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,2020-09-04,2020-09-14,2022-01-17,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,2020-12-01,2020-12-18,2022-01-17,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,2019-08-29,2019-08-29,2022-01-17,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,2020-10-16,2020-10-17,2022-01-17,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
만트럭버스코리아(주),TGS,2020-07-23,2020-07-28,2022-01-17,메인 퓨즈 박스의 공급업체의 신규 조립공장에서 생산 초기에 공정의 문제(퓨즈 고정 너트 조임시 퓨즈의 유동)로 메인 퓨즈의 변형 및 미세 손상으로 퓨즈의 단선 발생 가능성이 확인되었습니다.
포르쉐코리아 주식회사,파나메라,2020-07-16,2021-12-08,2022-01-17,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,카이엔,2020-07-16,2021-12-08,2022-01-17,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,타이칸,2020-07-16,2021-12-08,2022-01-17,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,911 카레라,2020-07-16,2021-12-08,2022-01-17,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
주식회사 마이브,마이브M1,2020-09-22,2020-12-17,2022-01-18,"자동차의 에너지소비효율, 온실가스 배출량 및 연료소비율 시험방법 등에 관한 고시의 별표10 자동차의 에너지소비효율, 온실가스 배출량 및 연료소비율 측정 산정방법에서 측정 에너지소비효율 및 연료소비율의 계산에 해당 모델의 연비 계산식 중 SCT 시험방법을 사용한 경우(신설) 에너지소비효율 및 연료소비율은 1회 충전 주행거리(km)를 주행시 소모된 전기에너지의 교류전류 충전량(kWh)를 나눠 계산해야 합니다. 그러나 1회 충전 주행거리(km)를 주행 시 소모된 전기에너지의 누적 방전 직류 전력량(kWh)으로 나눠 잘못된 연비를 기재하여 제원통보 하였습니다."
포르쉐코리아 주식회사,파나메라,2021-10-06,2021-12-07,2022-01-20,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조의 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,카이엔,2021-09-29,2021-12-08,2022-01-20,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조의 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,타이칸,2021-11-24,2021-12-04,2022-01-20,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조의 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
포르쉐코리아 주식회사,911 카레라,2021-10-02,2021-12-02,2022-01-20,"계기판 소프트웨어 오류로 계기판에 타이어공기압경고장치, 안전성제어장치 경고등이 원동기 작동 위치에 있을 때 점등되고 정상상태에 소등되는 단계가 진행되지 않아 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제 12 조의 2 와 제 90 조의 2 의 별표 7 의 7 위반 되었습니다."
현대자동차(주),싼타페 하이브리드 (TM PE HEV),2021-10-19,2021-12-06,2022-01-20,계기판 내부 부품 (저항값) 오적용으로 인해 저온조건(약 -20℃ 이하)에서 시동 시 간헐적으로 계기판 화면이 반전될 수 있고 그 상태로 주행할 경우 안전에 지장을 줄 가능성이 있는 결함
현대자동차(주),싼타페 (TM PE),2021-10-21,2021-12-06,2022-01-20,계기판 내부 부품 (저항값) 오적용으로 인해 저온조건(약 -20℃ 이하)에서 시동 시 간헐적으로 계기판 화면이 반전될 수 있고 그 상태로 주행할 경우 안전에 지장을 줄 가능성이 있는 결함
만트럭버스코리아(주),TGX,2020-05-13,2021-09-16,2022-01-21,바디 컨트롤 유닛(Body Control Unit)의 소프트웨어 오류로 작업등이 차량 속도 20km/h를 초과하여 주행하더라도 소등되지 않습니다. 이는 자동차 안전기준 제47조(그 밖의 등화의 제한)의 기준에 부적합 합니다.
만트럭버스코리아(주),TGX,2020-11-25,2021-05-28,2022-01-21,바디 컨트롤 유닛(Body Control Unit)의 소프트웨어 오류로 작업등이 차량 속도 20km/h를 초과하여 주행하더라도 소등되지 않습니다. 이는 자동차 안전기준 제47조(그 밖의 등화의 제한)의 기준에 부적합 합니다.
만트럭버스코리아(주),TGX,2020-03-01,2021-04-21,2022-01-21,바디 컨트롤 유닛(Body Control Unit)의 소프트웨어 오류로 작업등이 차량 속도 20km/h를 초과하여 주행하더라도 소등되지 않습니다. 이는 자동차 안전기준 제47조(그 밖의 등화의 제한)의 기준에 부적합 합니다.
만트럭버스코리아(주),TGX,2020-04-30,2021-10-15,2022-01-21,바디 컨트롤 유닛(Body Control Unit)의 소프트웨어 오류로 작업등이 차량 속도 20km/h를 초과하여 주행하더라도 소등되지 않습니다. 이는 자동차 안전기준 제47조(그 밖의 등화의 제한)의 기준에 부적합 합니다.
만트럭버스코리아(주),TGX,2020-11-27,2021-09-28,2022-01-21,바디 컨트롤 유닛(Body Control Unit)의 소프트웨어 오류로 작업등이 차량 속도 20km/h를 초과하여 주행하더라도 소등되지 않습니다. 이는 자동차 안전기준 제47조(그 밖의 등화의 제한)의 기준에 부적합 합니다.
테슬라코리아 유한회사,Model S,2017-01-06,2020-08-08,2022-01-24,조립과정 중 후드를 장착하는 동안 래치 어셈블리(후드 잠금장치) 정렬 불량이 있을 수 있습니다.
비엠더블유코리아(주),Rolls-Royce Ghost EWB,2020-09-10,2021-11-25,2022-01-25,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),Rolls-Royce Ghost Black Badge,2021-07-19,2021-12-07,2022-01-25,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),Rolls-Royce Ghost,2020-07-03,2021-11-26,2022-01-25,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 xDrive40i,2019-12-17,2021-11-19,2022-01-25,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 xDrive40d,2020-06-02,2020-10-27,2022-01-25,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 xDrive30d,2020-08-10,2021-11-19,2022-01-25,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 xDrive30d,2019-07-31,2020-07-30,2022-01-25,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 M50i,2020-06-02,2021-11-17,2022-01-25,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X6 M50d,2019-08-03,2020-06-30,2022-01-25,차량 전면부 그릴 등화가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제40조(차폭등)의 고장 시 작동기준을 충족하지 못하는 것으로 확인되었습니다.
비엠더블유코리아(주),BMW X2 xDrive20i,2021-10-28,2021-10-28,2022-01-26,주차거리 제어장치가 '자동차 및 자동차부품의 성능과 기준에 관한 규칙' 제53조의2(후방보행자 안전장치)의 제2항 접근 경보음 발생장치에서 정하는 감지영역 기준을 완전히 충족시키지 못하는 것으로 확인되었습니다.
만트럭버스코리아(주),TGX,2019-10-19,2020-10-20,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,2019-01-15,2020-11-14,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,2019-02-28,2021-02-14,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,2019-07-25,2021-02-11,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,2019-01-16,2019-08-01,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,2019-07-26,2020-01-29,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGX,2020-01-29,2020-11-18,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,2019-08-30,2021-03-03,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,2018-10-31,2019-01-23,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,2020-09-05,2020-09-15,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,2020-12-02,2020-12-19,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,2019-08-30,2019-08-30,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,2018-11-30,2019-10-10,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,2018-11-09,2018-12-05,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
만트럭버스코리아(주),TGS,2020-07-24,2020-07-29,2022-02-03,자동차 안정성 제어장치(ESC) 기능고장 식별표시(경고등)의 점등 조건이 제90조의 2(자동차 안정성 제어장치)에서 정한 기준에 미달합니다.
스텔란티스코리아주식회사,500X,2015-05-22,2016-04-13,2022-02-03,"엔진 오일이 부족할 경우 엔진 오일 경고등이 점등되어 엔진 오일이 부족한 사실을 운전자에게 알려야 하나, 엔진 컨트롤 모듈 프로그램 구성중 엔진 오일 부족 경고등 점등 기준점이 낮게 설정되어 엔진 오일 경고등이 늦게 점등되거나 또는 점등되지 않을 수 있음"
스텔란티스코리아주식회사,200,2014-09-06,2015-05-28,2022-02-03,"엔진 오일이 부족할 경우 엔진 오일 경고등이 점등되어 엔진 오일이 부족한 사실을 운전자에게 알려야 하나, 엔진 컨트롤 모듈 프로그램 구성중 엔진 오일 부족 경고등 점등 기준점이 낮게 설정되어 엔진 오일 경고등이 늦게 점등되거나 또는 점등되지 않을 수 있음"
스텔란티스코리아주식회사,짚컴패스,2017-12-16,2018-08-06,2022-02-03,"엔진 오일이 부족할 경우 엔진 오일 경고등이 점등되어 엔진 오일이 부족한 사실을 운전자에게 알려야 하나, 엔진 컨트롤 모듈 프로그램 구성중 엔진 오일 부족 경고등 점등 기준점이 낮게 설정되어 엔진 오일 경고등이 늦게 점등되거나 또는 점등되지 않을 수 있음"
스텔란티스코리아주식회사,짚체로키,2014-05-09,2018-11-07,2022-02-03,"엔진 오일이 부족할 경우 엔진 오일 경고등이 점등되어 엔진 오일이 부족한 사실을 운전자에게 알려야 하나, 엔진 컨트롤 모듈 프로그램 구성중 엔진 오일 부족 경고등 점등 기준점이 낮게 설정되어 엔진 오일 경고등이 늦게 점등되거나 또는 점등되지 않을 수 있음"
스텔란티스코리아주식회사,짚레니게이드,2015-04-30,2018-09-17,2022-02-03,"엔진 오일이 부족할 경우 엔진 오일 경고등이 점등되어 엔진 오일이 부족한 사실을 운전자에게 알려야 하나, 엔진 컨트롤 모듈 프로그램 구성중 엔진 오일 부족 경고등 점등 기준점이 낮게 설정되어 엔진 오일 경고등이 늦게 점등되거나 또는 점등되지 않을 수 있음"
메르세데스벤츠코리아(주),CLS 300 d 4MATIC,2020-12-03,2020-12-03,2022-02-04,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),Maybach S 580 4MATIC,2020-09-11,2021-07-16,2022-02-04,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),S 580 4MATIC,2020-07-09,2021-07-15,2022-02-04,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),C 200 4MATIC,2021-04-06,2021-04-13,2022-02-04,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),C 300,2021-03-31,2021-03-31,2022-02-04,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2021-01-27,2021-01-27,2022-02-04,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),Maybach S 580 4MATIC,2021-06-09,2021-06-09,2022-02-04,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
메르세데스벤츠코리아(주),S 580 4MATIC,2021-01-11,2021-01-30,2022-02-04,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
메르세데스벤츠코리아(주),S 500 4MATIC,2021-07-28,2021-08-03,2022-02-04,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
메르세데스벤츠코리아(주),S 450 4MATIC,2021-06-23,2021-08-09,2022-02-04,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
